handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_ca67e9ed-eb2d-4a19-8514-868123562c05,Product,Island Vybz Bundle - Big Vybz Collection,"<p><span style=""background-color: transparent"">Bring the warmth, sweetness, and rhythm of the Caribbean straight to your skin with our </span><em>Island Vybz</em><span style=""background-color: transparent""> bundle. This handcrafted trio, featuring a rich Body Butter, refreshing Mist, and nourishing Body Oil, is infused with our signature </span><strong>Jamaican Fruit</strong><span style=""background-color: transparent""> fragrance, a vibrant blend inspired by the lush, sun-ripened fruits of the island.</span></p><p><strong>What’s inside:</strong></p><p><strong>Body Butter</strong> – Deeply moisturizing and whipped to a smooth, creamy texture, this butter melts into your skin, leaving it soft, radiant, and lightly scented all day.</p><p><strong>Body Oil</strong> – A lightweight, fast-absorbing oil that locks in moisture and gives your skin a natural glow without feeling greasy.</p><p><strong>Fragrance Mist</strong> – A refreshing spritz that layers perfectly with the butter and oil, keeping you smelling sweet, juicy, and tropical from morning to night.</p><p><strong>The Jamaican Fruit Experience</strong><br>Bright, juicy, and irresistible, this fragrance captures the essence of island life with notes reminiscent of fresh mango, pineapple, and other tropical delights. It’s playful, uplifting, and perfect for anyone who wants to carry a piece of Jamaica wherever they go.</p><p><strong>Why you’ll love it:</strong></p><ul><li><p>Handmade with care in Jamaica</p></li><li><p>Crafted with skin-loving ingredients</p></li><li><p>Perfect for layering scent and moisture</p></li><li><p>Leaves skin feeling soft, smooth, and refreshed</p></li></ul><p>Whether you're treating yourself or gifting someone special, <em>Island Vybz</em> is more than skincare, it’s a whole mood.&nbsp;</p>",666008_c490497ad528480b87480478042ea63e~mv2.jpg;666008_b63b3b2bd3cb49feaea878a37c3132fc~mv2.jpg,,,,4500.0,,true,PERCENT,0.0,2,,3517.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_69e41115-86fe-433e-922c-be2f2877c21b,Product,In Your Dreams Bundle – Pink Chiffon Collection,"<p>In Your Dreams<span style=""background-color: transparent""> is your escape into a world of sweetness and self-care. This handcrafted skincare trio, made in Jamaica, blends indulgence with everyday luxury, featuring a Body Butter, Body Mist, and Body Oil all infused with the enchanting fragrance </span>Pink Chiffon<span style=""background-color: transparent"">.</span></p><p>The Scent – Pink Chiffon<br>Light, airy, and delicately sweet. Pink Chiffon wraps you in a soft, romantic aroma with subtle fruity and floral notes, creating a scent that feels like a gentle daydream lingering on your skin.</p><p>What you get:</p><ul><li><p>Body Butter: Rich and velvety, this whipped butter deeply moisturizes, leaving your skin silky smooth and glowing with hydration.</p></li><li><p>Body Mist: A refreshing, lightweight spray that gives you a soft veil of fragrance—perfect for a quick refresh or layering throughout the day.</p></li><li><p>Body Oil: Smooth and radiant, this nourishing oil locks in moisture while adding a natural, luminous sheen to your skin.</p></li></ul><p>Why You’ll Love It:</p><ul><li><p>Handmade in Jamaica with skin-loving ingredients</p></li><li><p>Perfect for daily pampering and self-care rituals</p></li><li><p>Long-lasting, layerable fragrance</p></li><li><p>Leaves your skin soft, glowing, and beautifully scented</p></li></ul><p>In Your Dreams is more than a skincare set, it’s a feeling. Soft, sweet, and unforgettable, just like the moments you never want to wake from.</p><p>Drift into your glow. Live your dream.</p>",666008_c490497ad528480b87480478042ea63e~mv2.jpg;666008_b63b3b2bd3cb49feaea878a37c3132fc~mv2.jpg,Natural Body Care,,You'll Love this,4500.0,,true,PERCENT,0.0,2,,3686.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9cdbf289-1a53-4c31-93ab-0c8a53e041b5,Product,Bold Touch Bundle – Black Woman Collection,"<p><span style=""background-color: transparent"">Step into your power with </span><strong>Bold Touch</strong><span style=""background-color: transparent"">, a handcrafted skincare trio designed to celebrate strength, softness, and unapologetic confidence. Made in Jamaica with care and intention, this luxurious bundle features a rich Body Butter, a refreshing Mist, and a nourishing Body Oil. All infused with the captivating fragrance </span><strong>Black Woman</strong><span style=""background-color: transparent"">.</span></p><p>&nbsp;</p><p><strong>The Scent – Black Woman</strong><br>Deep, warm, and unforgettable. This fragrance wraps you in a sensual blend that feels both grounding and empowering—like confidence you can wear on your skin. It lingers beautifully, making a statement without saying a word.</p><p>&nbsp;</p><p><strong>What you get:</strong></p><ul>	<li>	<p><strong>Body Butter:</strong> Whipped to perfection, this creamy blend melts into your skin, delivering intense moisture and a smooth, radiant glow. Ideal for dry or dull skin that needs a little extra love.</p>	</li>	<li>	<p><strong>Body Mist:</strong> Light and refreshing, this mist gives you an instant burst of the Black Woman fragrance. Perfect for layering or a quick pick-me-up throughout your day.</p>	</li>	<li>	<p><strong>Body Oil:</strong> A silky, fast-absorbing oil that seals in moisture while adding a luminous sheen. Wear it alone or pair it with the body butter for long-lasting hydration.</p>	</li></ul><p>&nbsp;</p><p><strong>Why You’ll Love It:</strong></p><ul>	<li>	<p>Handmade in Jamaica with natural, skin-loving ingredients</p>	</li>	<li>	<p>Designed for all skin types</p>	</li>	<li>	<p>Layered fragrance experience that lasts all day</p>	</li>	<li>	<p>Leaves skin feeling soft, nourished, and beautifully scented</p>	</li></ul><p>&nbsp;</p><p><strong>Bold Touch</strong> isn’t just skincare, it’s a statement. A reminder that your presence is powerful, your energy is magnetic, and your touch is unforgettable.</p><p>Embrace your glow. Own your essence.</p>",666008_c490497ad528480b87480478042ea63e~mv2.jpg;666008_b63b3b2bd3cb49feaea878a37c3132fc~mv2.jpg;666008_a6c9c21fd897418b9a33a1d396b1bddf~mv2.png,,,Just in!,4500.0,,true,PERCENT,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e28b00a2-c5d3-d83d-22a0-957f3ca716d4,Product,Body Oil Jamaican Made Natural Botanical Infused,"<p>Elevate your daily routine with our Jamaican made natural botanical infused&nbsp;Body oil, a perfect blend of nature's finest ingredients and artisanal craftsmanship. Each oil&nbsp;is thoughtfully created with carefully chosen carrier&nbsp;oils, botanical extracts, and skin-loving elements to hydrate, refresh, and enchant.</p><p>&nbsp;</p><p>Available in a variety of signature scents—from calming vanilla to invigorating and fruity—our body mist provides a subtle, long-lasting fragrance that enhances your natural essence without overwhelming.</p><p>&nbsp;</p><p>Why you'll love it:</p><ul>	<li>100% Natural Ingredients: Free from harsh chemicals, our mist nourishes and refreshes the skin.</li>	<li>Lightweight Formula: Delivers a silky, non-sticky oil&nbsp;that absorbs instantly.</li>	<li>Versatile Use: Perfect for after-shower refreshment, midday pick-me-ups, body massage or a quick spritz before heading out.</li></ul><p>&nbsp;</p><p>Treat yourself or gift a loved one with this handcrafted gem—because you deserve to feel radiant, inside and out.</p><p>&nbsp;</p><p>Fragrance Your Way, Naturally.</p>",666008_c375769295434647a271e4a12b5d80bb~mv2.png;666008_4de4ba813e444d4f9c6d4e7bed1618f3~mv2.jpg,Natural Body Care,,New,1500.0,,true,PERCENT,0.0,0,,,Options,DROP_DOWN,Bold Touch;Island Vybz;Vanilla Bae;In Your Dreams;Favoured,,,,,,,,,,,,,,,,BENEFITS,"<ul>
	<li>Gentle on skin&nbsp;</li>
	<li>Soothes and softens</li>
	<li>Aromatherapy benefits&nbsp;</li>
	<li>Customization&nbsp;</li>
	<li>Refreshing feeling&nbsp;</li>
	<li>Suitable for daily use&nbsp;</li>
</ul>
",INGREDIENTS,"<p>Coconut Oil, Grapeseed Oil, Canola Oil, Olive Oil, Sunflower Oil, Dried Hibiscus Flower, Dried Calendula Flower, Moringa Oil, Vitamin E Oil, Fragrance, Isopropyl Myristate, Optiphen, Neem Oil.</p>
",INSTRUCTIONS,"<p>Spray liberally directly on skin&nbsp;after shower and massage into skin. Use with our body butters for best results.&nbsp;&nbsp;</p>
",RETURN POLICY,"<p>Returns accepted up to seven days after receipt for local customers and up to 30 days for international customers. Items must be unopened, unused and in original packaging.</p>",,,,,,,,,,,Foryou Skin Bar
product_e28b00a2-c5d3-d83d-22a0-957f3ca716d4,Variant,,,,,,,,,true,,,6,0.28,1315.58,,,Island Vybz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e28b00a2-c5d3-d83d-22a0-957f3ca716d4,Variant,,,,,,,,,true,,,1,0.28,1315.58,,,Vanilla Bae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e28b00a2-c5d3-d83d-22a0-957f3ca716d4,Variant,,,,,,,,,true,,,3,,,,,Bold Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e28b00a2-c5d3-d83d-22a0-957f3ca716d4,Variant,,,,,,,,,true,,,5,0.32,,,,Favoured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e28b00a2-c5d3-d83d-22a0-957f3ca716d4,Variant,,,,,,,,,true,,,2,0.32,1400.0,,,In Your Dreams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fe92677b-8825-3924-f079-f259d9f90e2d,Product,Grace and Glow Self Care – Handmade Bath and Body Gift Sets,"<p>The Grace and Glow Self Care Gift Set is a beautifully curated, Jamaican handmade bath and body experience created to nourish your skin and your spirit. Thoughtfully crafted with care, prayer, and purpose, each set is designed to help you slow down, reset, and glow; inside and out.</p><p>&nbsp;</p><p>This complete head-to-toe self-care ritual includes a Body Wash, Body Butter, Body Oil, and Body Mist, working together to cleanse, moisturize, seal in hydration, and leave your skin softly scented and radiant. Whether you’re gifting someone special or pouring back into yourself, Grace and Glow is a reminder that self-care is not a luxury. It’s grace in action.</p><p>&nbsp;</p><p>Each scent option carries its own intention, allowing you to choose the experience that best fits your mood, season, or season of life.</p><p>&nbsp;</p><p>Choose Your Grace &amp; Glow Set</p><p>&nbsp;</p><p>1. Wrapped in Grace Set – Vanilla Bae</p><p>Soft, warm, and comforting, the Wrapped in Grace Set surrounds you in sweetness and calm. Infused with our beloved Vanilla Bae scent, this set is perfect for moments when you need gentle care, rest, and reassurance. Think cozy evenings, soft skin, and the quiet reminder that you are deeply loved and covered in grace.</p><p>&nbsp;</p><p>Ideal for: Soft life moments, everyday self-care, and those who love warm, sweet scents.</p><p>&nbsp;</p><p>2. Praise and Glow Set – Island Vybz</p><p>The Praise and Glow Set is vibrant, uplifting, and full of island energy. Featuring Island Vybz, this refreshing, tropical-inspired scent brings joy to your routine and turns everyday self-care into a celebration. It’s a reminder to give thanks, move with gratitude, and let your glow reflect your joy.</p><p>&nbsp;</p><p>Ideal for: Morning routines, mood-boosting self-care, and lovers of fresh, island scents.</p><p>&nbsp;</p><p>3. Chosen and Covered Glow Set – Favoured</p><p>Bold, confident, and affirming, the Chosen and Covered Glow Set is made for those walking in purpose. With our Favoured scent, this set embodies confidence, abundance, and grace. It’s more than skincare—it’s a declaration that you are chosen, covered, and worthy of care.</p><p>&nbsp;</p><p>Ideal for: Gifting, confidence boosts, and moments when you want to feel empowered and assured.</p><p>&nbsp;</p><p>4. Covered While You Rest Set – In Your Dreams</p><p>The Covered While You Rest Set is designed for peaceful evenings and intentional rest. Infused with In Your Dreams, this soft, dreamy scent helps you unwind and prepare for rest while deeply nourishing your skin. Perfect for nighttime routines that encourage stillness, relaxation, and renewal.</p><p>&nbsp;</p><p>Ideal for: Night routines, winding down, and anyone who loves calm, soothing scents.</p><p>&nbsp;</p><p>Each Grace and Glow Set Includes:</p><p></p><p>		1 Rich, moisturizing Body Butter</p><p>	</p><p>		1 Nourishing Body Oil</p><p>	</p><p>		1 Light, refreshing Body Mist</p><p></p><p>    1 Handmade face and body Soap</p><p></p><p>    1 Foaming face and body Sugar Scrub (Truglow or     Calm and Clear) - 11oz</p><p>&nbsp;</p><p>    1 Soap saver bag</p><p></p><p>Crafted with intention. Made with care. Covered in grace. Choose your set and let your glow reflect the grace you walk in.</p>",666008_ac04c3a96c1e4817b7e329c984f2cfc3~mv2.jpg;666008_81d1ffe50fe5402d9fdad5b17902b525,Natural Body Care,,Bundle,10000.0,,true,AMOUNT,1500.0,0,,,Options,DROP_DOWN,Wrapped in Grace;Praise and Glow;Chosen and Covered;Covered While You Rest;Bold by Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foryou Skin Bar
